Interests,Skills,Goals,Budget,Location,University Match,Course
Psychology,Marketing,Design innovative products,Low,Venice,Ca' Foscari University of Venice,Cognitive Neuroscience
Business,Data Science,Start a business,Low,Pisa,University of Pisa,Business Administration
Law,Mechanical Engineering,Develop medical devices,Low,Naples,University of Naples Federico II,Criminal Law
Psychology,Graphic Design,Help people with mental health,Low,Bologna,University of Bologna,Cognitive Neuroscience
Psychology,Marketing,Design innovative products,Medium,Turin,University of Turin,Clinical Psychology
Biotechnology,Financial Analysis,Work in healthcare,Medium,Venice,Ca' Foscari University of Venice,Biopharmaceuticals
Physics,Financial Analysis,Become a lawyer,Medium,Pisa,University of Pisa,Astrophysics
Psychology,Graphic Design,Design innovative products,Medium,Pisa,University of Pisa,Cognitive Neuroscience
Physics,Data Science,Design innovative products,Medium,Venice,Ca' Foscari University of Venice,Quantum Mechanics
Economics,Marketing,Start a business,High,Venice,Ca' Foscari University of Venice,Microeconomics
Biotechnology,Counseling,Develop medical devices,Low,Rome,LUISS Business School,Biopharmaceuticals
Engineering,Marketing,Help people with mental health,Medium,Venice,Ca' Foscari University of Venice,Civil Engineering
Arts,Legal Analysis,Become a lawyer,Medium,Milan,Bocconi University,Design
Medicine,Counseling,Design innovative products,High,Naples,University of Naples Federico II,Pharmacology
Biotechnology,Python,Conduct economic research,Medium,Pisa,University of Pisa,Genetic Engineering
Business,Counseling,Become a lawyer,High,Venice,Ca' Foscari University of Venice,Business Administration
Law,Mechanical Engineering,Help people with mental health,Medium,Rome,Roma Tre University,Corporate Law
Business,Data Science,Work in healthcare,High,Venice,Ca' Foscari University of Venice,Entrepreneurship
Law,Marketing,Conduct economic research,Medium,Naples,University of Naples Federico II,Corporate Law
Medicine,Graphic Design,Work in healthcare,Medium,Turin,Politecnico di Torino,Pharmacology
Law,Graphic Design,Conduct economic research,Medium,Milan,University of Milan,Criminal Law
Economics,Graphic Design,Design innovative products,Low,Bologna,University of Bologna,Macroeconomics
Business,Biomedical Research,Help people with mental health,Low,Turin,University of Turin,Business Administration
Engineering,Python,Design innovative products,High,Bologna,University of Bologna,Mechanical Engineering
Medicine,Legal Analysis,Help people with mental health,High,Turin,University of Turin,General Medicine
Arts,Data Science,Design innovative products,Low,Turin,Politecnico di Torino,Design
Business,Graphic Design,Work in healthcare,Medium,Milan,Bocconi University,Business Administration
Business,Graphic Design,Design innovative products,High,Bologna,University of Bologna,Business Administration
Medicine,Graphic Design,Design innovative products,Medium,Rome,Roma Tre University,Surgery
Psychology,Graphic Design,Become a lawyer,High,Florence,University of Florence,Clinical Psychology
Engineering,Data Science,Conduct economic research,Low,Venice,Ca' Foscari University of Venice,Civil Engineering
Medicine,Legal Analysis,Work at a tech company,High,Rome,Sapienza University of Rome,Pharmacology
AI,Financial Analysis,Design innovative products,High,Pisa,University of Pisa,Artificial Intelligence
Economics,Legal Analysis,Help people with mental health,High,Turin,Politecnico di Torino,Macroeconomics
Business,Graphic Design,Develop medical devices,Low,Bologna,University of Bologna,Business Administration
AI,Graphic Design,Work in healthcare,High,Bologna,University of Bologna,Data Science
Business,Marketing,Design innovative products,Low,Bologna,University of Bologna,Business Administration
AI,Data Science,Work in healthcare,Low,Naples,University of Naples Federico II,Machine Learning
Physics,Graphic Design,Design innovative products,Medium,Turin,Politecnico di Torino,Quantum Mechanics
Law,Biomedical Research,Work at a tech company,Low,Florence,University of Florence,International Law
Law,Mechanical Engineering,Start a business,High,Naples,University of Naples Federico II,International Law
Engineering,Marketing,Work at a tech company,Low,Turin,Politecnico di Torino,Electrical Engineering
Law,Python,Become a lawyer,Medium,Milan,Bocconi University,International Law
Arts,Mechanical Engineering,Become a lawyer,Medium,Milan,Bocconi University,Fine Arts
Medicine,Counseling,Become a lawyer,Low,Florence,University of Florence,Surgery
Business,Counseling,Conduct economic research,High,Turin,University of Turin,Business Administration
Economics,Financial Analysis,Work in healthcare,Medium,Naples,University of Naples Federico II,Macroeconomics
Biotechnology,Financial Analysis,Help people with mental health,Low,Turin,University of Turin,Genetic Engineering
Physics,Python,Work at a tech company,Low,Naples,University of Naples Federico II,Quantum Mechanics
Business,Python,Start a business,Medium,Venice,Ca' Foscari University of Venice,Entrepreneurship
Business,Counseling,Work in healthcare,Low,Milan,Bocconi University,Business Administration
Economics,Marketing,Develop medical devices,Medium,Rome,Sapienza University of Rome,Microeconomics
Law,Graphic Design,Design innovative products,Low,Venice,Ca' Foscari University of Venice,Criminal Law
Biotechnology,Biomedical Research,Design innovative products,Medium,Genoa,University of Genoa,Genetic Engineering
Psychology,Counseling,Conduct economic research,Medium,Naples,University of Naples Federico II,Clinical Psychology
Law,Legal Analysis,Help people with mental health,Low,Milan,University of Milan,Corporate Law
Biotechnology,Legal Analysis,Work in healthcare,Medium,Venice,Ca' Foscari University of Venice,Genetic Engineering
Economics,Python,Start a business,Medium,Milan,University of Milan,Microeconomics
Physics,Mechanical Engineering,Help people with mental health,High,Rome,Roma Tre University,Astrophysics
Psychology,Biomedical Research,Design innovative products,Low,Genoa,University of Genoa,Cognitive Neuroscience
AI,Python,Work at a tech company,High,Pisa,University of Pisa,Machine Learning
Biotechnology,Biomedical Research,Work at a tech company,Medium,Turin,Politecnico di Torino,Genetic Engineering
Physics,Biomedical Research,Become a lawyer,Low,Florence,University of Florence,Astrophysics
Biotechnology,Python,Work in healthcare,Medium,Naples,University of Naples Federico II,Biopharmaceuticals
Economics,Counseling,Conduct economic research,Low,Milan,Bocconi University,Microeconomics
Law,Legal Analysis,Conduct economic research,Medium,Florence,University of Florence,Criminal Law
Business,Legal Analysis,Become a lawyer,Low,Venice,Ca' Foscari University of Venice,Business Administration
Law,Biomedical Research,Help people with mental health,Low,Naples,University of Naples Federico II,International Law
Business,Graphic Design,Develop medical devices,Medium,Turin,University of Turin,Finance
Medicine,Mechanical Engineering,Start a business,Medium,Turin,Politecnico di Torino,General Medicine
Law,Legal Analysis,Help people with mental health,Low,Naples,University of Naples Federico II,International Law
Engineering,Counseling,Develop medical devices,Medium,Florence,University of Florence,Mechanical Engineering
AI,Data Science,Work in healthcare,High,Genoa,University of Genoa,Machine Learning
Arts,Data Science,Develop medical devices,Medium,Pisa,University of Pisa,Music
Law,Graphic Design,Develop medical devices,High,Milan,Politecnico di Milano,Criminal Law
Psychology,Biomedical Research,Conduct economic research,Medium,Pisa,University of Pisa,Clinical Psychology
Engineering,Graphic Design,Work in healthcare,Low,Rome,LUISS Business School,Electrical Engineering
Physics,Mechanical Engineering,Start a business,Low,Turin,Politecnico di Torino,Astrophysics
Physics,Biomedical Research,Develop medical devices,Medium,Turin,Politecnico di Torino,Quantum Mechanics
Business,Mechanical Engineering,Help people with mental health,Low,Venice,Ca' Foscari University of Venice,Business Administration
Medicine,Mechanical Engineering,Conduct economic research,High,Venice,Ca' Foscari University of Venice,Pharmacology
Law,Mechanical Engineering,Develop medical devices,Low,Bologna,University of Bologna,International Law
Business,Legal Analysis,Help people with mental health,High,Florence,University of Florence,Finance
Medicine,Legal Analysis,Design innovative products,Low,Pisa,University of Pisa,Surgery
Arts,Python,Develop medical devices,High,Venice,Ca' Foscari University of Venice,Music
Psychology,Legal Analysis,Develop medical devices,Low,Bologna,University of Bologna,Cognitive Neuroscience
Psychology,Marketing,Develop medical devices,High,Naples,University of Naples Federico II,Clinical Psychology
Biotechnology,Data Science,Work at a tech company,High,Naples,University of Naples Federico II,Biopharmaceuticals
Physics,Data Science,Become a lawyer,Medium,Genoa,University of Genoa,Astrophysics
Physics,Graphic Design,Develop medical devices,Medium,Milan,University of Milan,Quantum Mechanics
Arts,Python,Work in healthcare,Low,Genoa,University of Genoa,Music
Business,Counseling,Work at a tech company,Medium,Venice,Ca' Foscari University of Venice,Entrepreneurship
Law,Data Science,Start a business,Low,Bologna,University of Bologna,Corporate Law
Economics,Python,Develop medical devices,Low,Florence,University of Florence,Microeconomics
Economics,Mechanical Engineering,Become a lawyer,Medium,Turin,University of Turin,Microeconomics
Law,Python,Become a lawyer,High,Pisa,University of Pisa,Corporate Law
Engineering,Financial Analysis,Conduct economic research,High,Florence,University of Florence,Mechanical Engineering
Medicine,Python,Design innovative products,Low,Venice,Ca' Foscari University of Venice,Surgery
Business,Python,Help people with mental health,Medium,Bologna,University of Bologna,Business Administration
AI,Biomedical Research,Become a lawyer,Low,Naples,University of Naples Federico II,Artificial Intelligence
Medicine,Python,Work in healthcare,Low,Rome,Roma Tre University,Surgery
Physics,Marketing,Conduct economic research,High,Milan,University of Milan,Quantum Mechanics
Biotechnology,Python,Work at a tech company,Low,Genoa,University of Genoa,Biopharmaceuticals
Physics,Marketing,Start a business,Low,Florence,University of Florence,Astrophysics
Arts,Counseling,Work in healthcare,Low,Bologna,University of Bologna,Music
Business,Biomedical Research,Work at a tech company,Low,Bologna,University of Bologna,Entrepreneurship
Business,Financial Analysis,Start a business,High,Florence,University of Florence,Entrepreneurship
Economics,Biomedical Research,Become a lawyer,Low,Venice,Ca' Foscari University of Venice,Microeconomics
Economics,Biomedical Research,Work in healthcare,Medium,Naples,University of Naples Federico II,Macroeconomics
Physics,Financial Analysis,Work at a tech company,Medium,Rome,Roma Tre University,Quantum Mechanics
Arts,Counseling,Design innovative products,Medium,Venice,Ca' Foscari University of Venice,Fine Arts
Law,Data Science,Develop medical devices,Low,Bologna,University of Bologna,Criminal Law
Economics,Data Science,Design innovative products,High,Rome,Sapienza University of Rome,Macroeconomics
Business,Marketing,Develop medical devices,Low,Pisa,University of Pisa,Entrepreneurship
AI,Python,Develop medical devices,Medium,Rome,Sapienza University of Rome,Data Science
Arts,Python,Become a lawyer,Low,Turin,University of Turin,Fine Arts
Biotechnology,Marketing,Develop medical devices,High,Rome,LUISS Business School,Biopharmaceuticals
AI,Mechanical Engineering,Work in healthcare,Low,Turin,Politecnico di Torino,Artificial Intelligence
Psychology,Financial Analysis,Start a business,High,Milan,Bocconi University,Cognitive Neuroscience
Economics,Mechanical Engineering,Design innovative products,High,Florence,University of Florence,Microeconomics
Law,Biomedical Research,Work at a tech company,Medium,Rome,Sapienza University of Rome,Corporate Law
Physics,Legal Analysis,Start a business,Low,Venice,Ca' Foscari University of Venice,Quantum Mechanics
Psychology,Biomedical Research,Work at a tech company,High,Naples,University of Naples Federico II,Clinical Psychology
Psychology,Graphic Design,Work at a tech company,High,Naples,University of Naples Federico II,Cognitive Neuroscience
Psychology,Marketing,Work in healthcare,Medium,Bologna,University of Bologna,Cognitive Neuroscience
Physics,Data Science,Work in healthcare,Medium,Pisa,University of Pisa,Quantum Mechanics
Law,Data Science,Conduct economic research,High,Milan,Politecnico di Milano,Criminal Law
AI,Mechanical Engineering,Develop medical devices,Low,Naples,University of Naples Federico II,Data Science
AI,Mechanical Engineering,Start a business,Medium,Florence,University of Florence,Machine Learning
Physics,Mechanical Engineering,Become a lawyer,Medium,Naples,University of Naples Federico II,Quantum Mechanics
AI,Financial Analysis,Develop medical devices,High,Pisa,University of Pisa,Machine Learning
Medicine,Legal Analysis,Work in healthcare,Medium,Rome,Roma Tre University,Pharmacology
Medicine,Counseling,Design innovative products,Medium,Bologna,University of Bologna,General Medicine
Biotechnology,Counseling,Work in healthcare,High,Venice,Ca' Foscari University of Venice,Biopharmaceuticals
Biotechnology,Financial Analysis,Develop medical devices,Medium,Milan,Bocconi University,Biopharmaceuticals
Business,Graphic Design,Work at a tech company,Low,Naples,University of Naples Federico II,Business Administration
Business,Mechanical Engineering,Start a business,Low,Turin,Politecnico di Torino,Business Administration
Law,Data Science,Become a lawyer,Low,Pisa,University of Pisa,International Law
Medicine,Counseling,Help people with mental health,Low,Turin,Politecnico di Torino,General Medicine
Biotechnology,Counseling,Develop medical devices,Low,Turin,Politecnico di Torino,Genetic Engineering
Engineering,Legal Analysis,Help people with mental health,Low,Milan,University of Milan,Mechanical Engineering
Physics,Graphic Design,Develop medical devices,Low,Genoa,University of Genoa,Astrophysics
Arts,Counseling,Design innovative products,Low,Turin,University of Turin,Design
Physics,Financial Analysis,Conduct economic research,Low,Naples,University of Naples Federico II,Astrophysics
Law,Data Science,Conduct economic research,Low,Florence,University of Florence,Criminal Law
Business,Biomedical Research,Help people with mental health,Medium,Pisa,University of Pisa,Entrepreneurship
Medicine,Data Science,Become a lawyer,Medium,Naples,University of Naples Federico II,Surgery
Engineering,Counseling,Become a lawyer,Medium,Florence,University of Florence,Mechanical Engineering
Biotechnology,Python,Start a business,Low,Venice,Ca' Foscari University of Venice,Biopharmaceuticals
Law,Legal Analysis,Conduct economic research,High,Turin,Politecnico di Torino,Criminal Law
Business,Marketing,Become a lawyer,Low,Florence,University of Florence,Finance
AI,Data Science,Work in healthcare,Low,Milan,University of Milan,Machine Learning
Psychology,Mechanical Engineering,Become a lawyer,High,Pisa,University of Pisa,Clinical Psychology
Business,Financial Analysis,Work in healthcare,Low,Genoa,University of Genoa,Finance
Medicine,Graphic Design,Work at a tech company,High,Turin,Politecnico di Torino,Pharmacology
AI,Counseling,Start a business,Medium,Genoa,University of Genoa,Data Science
Psychology,Python,Work at a tech company,Low,Bologna,University of Bologna,Cognitive Neuroscience
Medicine,Mechanical Engineering,Design innovative products,High,Venice,Ca' Foscari University of Venice,General Medicine
Arts,Mechanical Engineering,Design innovative products,Low,Bologna,University of Bologna,Design
Medicine,Data Science,Work at a tech company,High,Pisa,University of Pisa,General Medicine
Law,Biomedical Research,Help people with mental health,Medium,Milan,Politecnico di Milano,International Law
Biotechnology,Marketing,Work in healthcare,Low,Rome,Roma Tre University,Genetic Engineering
Psychology,Mechanical Engineering,Conduct economic research,Medium,Genoa,University of Genoa,Clinical Psychology
Medicine,Data Science,Start a business,Medium,Naples,University of Naples Federico II,Pharmacology
Economics,Counseling,Start a business,Medium,Naples,University of Naples Federico II,Microeconomics
Economics,Counseling,Design innovative products,Low,Rome,Sapienza University of Rome,Macroeconomics
